Package Title,Version,Authors,Description,Declared License,Discovered License(s),Package Manager,Package Homepage,Dependency Path(s),Issue Resolution Notes
animated_bottom_navigation_bar,1.3.3,,Animated Bottom Navigation Bar Widget implementation inspired by https://dribbble.com/shots/7134849-Simple-Tab-Bar-Animation,BSD-2-Clause,BSD-3-Clause,Pub,https://github.com/LanarsInc/animated-bottom-navigation-bar-flutter,animated_bottom_navigation_bar,
animated_notch_bottom_bar,1.0.3,,This package helps you to achieve animated notch bottom navigation bar with any widget as children.,MIT,,Pub,https://pub.dartlang.org/packages/animated_notch_bottom_bar,animated_notch_bottom_bar,
app_links,6.3.2,,"Android App Links, Deep Links, iOs Universal Links and Custom URL schemes handler for Flutter (desktop included).",Apache-2.0,CC0-1.0,Pub,https://github.com/llfbandit/app_links,app_links,
archive,3.6.1,,"Provides encoders and decoders for various archive and compression formats such as zip, tar, bzip2, gzip, and zlib.",MIT,BSD-3-Clause; bzip2-1.0.6,Pub,https://pub.dartlang.org/packages/archive,archive,
auto_size_text,3.0.0,,Flutter widget that automatically resizes text to fit perfectly within its bounds.,MIT,,Pub,https://github.com/leisim/auto_size_text,auto_size_text,
beamer,1.6.1,,"A routing package built on top of Router and Navigator's pages API, supporting arbitrary nested navigation, guards and more.",MIT,,Pub,https://beamer.dev,beamer,
build_runner,2.4.12,,A build system for Dart code generation and modular compilation.,BSD-3-Clause,,Pub,https://pub.dartlang.org/packages/build_runner,build_runner,
cached_network_image,3.4.0,,Flutter library to load and cache network images. Can also be used with placeholder and error widgets.,MIT,BSD-3-Clause,Pub,https://github.com/Baseflow/flutter_cached_network_image,cached_network_image,
change_app_package_name,1.3.0,,"Change App Package Name with single command. Update AndroidManifest, build.gradle, MainActivity files & move MainActivity file to new directory structure automatically.",MIT,,Pub,https://github.com/atiqsamtia/change_app_package_name,change_app_package_name,
connectivity_plus,5.0.2,,Flutter plugin for discovering the state of the network (WiFi & mobile/cellular) connectivity on Android and iOS.,BSD-3-Clause,,Pub,https://github.com/fluttercommunity/plus_plugins,connectivity_plus,
crypto,3.0.5,,"Implementations of SHA, MD5, and HMAC cryptographic functions.",BSD-3-Clause,,Pub,https://pub.dartlang.org/packages/crypto,crypto,
cupertino_icons,1.0.8,,Default icons asset for Cupertino widgets based on Apple styled icons,MIT,BSD-3-Clause,Pub,https://pub.dartlang.org/packages/cupertino_icons,cupertino_icons,
dio,5.7.0,,"A powerful HTTP networking package,
supports Interceptors,
Aborting and canceling a request,
Custom adapters, Transformers, etc.
",MIT,BSD-3-Clause,Pub,https://github.com/cfug/dio,dio,
encrypt,5.0.3,,A set of high-level APIs over PointyCastle for two-way cryptography.,BSD-3-Clause,,Pub,https://pub.dartlang.org/packages/encrypt,encrypt,
ffi,2.1.3,,Utilities for working with Foreign Function Interface (FFI) code.,BSD-3-Clause,,Pub,https://pub.dartlang.org/packages/ffi,ffi,
ffigen,9.0.1,,"Generator for FFI bindings, using LibClang to parse C, Objective-C, and Swift files.
",BSD-3-Clause,Apache-2.0; apache-2.0 WITH llvm-exception; MIT; public-domain,Pub,https://pub.dartlang.org/packages/ffigen,ffigen,
file_picker,8.0.7,,"A package that allows you to use a native file explorer to pick single or multiple absolute file paths, with extension filtering support.",MIT,,Pub,https://github.com/miguelpruivo/plugins_flutter_file_picker,file_picker,
filter_list,1.0.3,,Filter_list Package is designed to make single/multiple item selection from a list of string/object.,BSD-2-Clause,,Pub,https://github.com/TheAlphamerc/flutter_plugin_filter_list,filter_list,
Flutter,1.0.0,flutter-dev@googlegroups.com,"Flutter is Google's UI toolkit for building beautiful, fast apps for mobile, web, desktop, and embedded devices from a single codebase.
This pod vends the iOS Release mode Flutter engine framework. It is compatible with application frameworks created with this version of the engine and tools.",BSD-2-Clause,BSD-3-Clause,CocoaPods,https://flutter.dev,"printing > Flutter,path_provider_foundation > Flutter,package_info_plus > Flutter,open_file > Flutter,image_picker_ios > Flutter,fluttertoast > Flutter,file_picker > Flutter,connectivity_plus > Flutter,app_links > Flutter,Flutter",
flutter_lints,4.0.0,,"Recommended lints for Flutter apps, packages, and plugins to encourage good coding practices.",BSD-3-Clause,,Pub,https://pub.dartlang.org/packages/flutter_lints,flutter_lints,
flutter_overlay_loader,2.0.0,,A simple Flutter package for managing overlay loading when fetching remote data or any long-running async task. Flutter overlay loader is easy to use.,Apache-2.0,,Pub,https://github.com/spporan/FlutterOverlayLoader,flutter_overlay_loader,
flutter_phoenix,1.1.1,,"Easily restart your application from scratch, losing any previous state",MIT,,Pub,https://github.com/mobiten/flutter_phoenix,flutter_phoenix,
flutter_rust_bridge,1.82.6,,"Flutter/Dart <-> Rust binding generator, feature-rich, but seamless and simple",MIT,,Pub,https://pub.dartlang.org/packages/flutter_rust_bridge,flutter_rust_bridge,
flutter_speed_dial,7.0.0,,"Flutter plugin to implement a beautiful and dynamic Material Design Speed Dial with labels, animated icons, multi-directional children and much more.",MIT,,Pub,https://github.com/darioielardi/flutter_speed_dial/,flutter_speed_dial,
flutter_svg,2.0.10+1,,"An SVG rendering and widget library for Flutter, which allows painting and displaying Scalable Vector Graphics 1.1 files.",MIT,,Pub,https://pub.dartlang.org/packages/flutter_svg,flutter_svg,
fluttertoast,8.2.8,,"Toast Library for Flutter, Easily create toast messages in single line of code",MIT,,Pub,https://github.com/PonnamKarthik/FlutterToast,fluttertoast,
font_awesome_flutter,10.7.0,,The Font Awesome Icon pack available as Flutter Icons. Provides 2000 additional icons to use in your apps.,CC-BY-4.0; MIT; OFL-1.1,BSD-3-Clause,Pub,https://pub.dartlang.org/packages/font_awesome_flutter,font_awesome_flutter,
freezed,2.5.7,,"Code generation for immutable classes that has a simple syntax/API without compromising on the features.
",MIT,,Pub,https://pub.dartlang.org/packages/freezed,freezed,
freezed_annotation,2.4.4,,"Annotations for the freezed code-generator. This package does nothing without freezed too.
",MIT,,Pub,https://pub.dartlang.org/packages/freezed_annotation,freezed_annotation,
get,4.6.6,,"Open screens/snackbars/dialogs without context, manage states and inject dependencies easily with GetX.",MIT,BSD-3-Clause,Pub,https://github.com/jonataslaw/getx,get,
get_storage,2.1.1,,"A fast, extra light and synchronous key-value storage written entirely in Dart",MIT,BSD-3-Clause,Pub,https://github.com/jonataslaw/get_storage,get_storage,
google_fonts,6.2.1,,"A Flutter package to use fonts from fonts.google.com. Supports HTTP fetching, caching, and asset bundling.",Apache-2.0,BSD-3-Clause,Pub,https://pub.dartlang.org/packages/google_fonts,google_fonts,
hive,2.2.3,,Lightweight and blazing fast key-value database written in pure Dart. Strongly encrypted using AES-256.,Apache-2.0,,Pub,https://github.com/hivedb/hive/tree/master/hive,hive,
hive_flutter,1.1.0,,Extension for Hive. Makes it easier to use Hive in Flutter apps.,Apache-2.0,,Pub,https://github.com/hivedb/hive/tree/master/hive_flutter,hive_flutter,
hive_generator,2.0.1,,Extension for Hive. Automatically generates TypeAdapters to store any class.,Apache-2.0,,Pub,https://github.com/hivedb/hive/tree/master/hive_generator,hive_generator,
iconsax,0.0.8,,"Iconsax for flutter (1000+ icons 6 diferent styles, total 6000+ icons).",GPL-3.0-only,,Pub,https://iconsax.io/,iconsax,
image_picker,1.1.2,,"Flutter plugin for selecting images from the Android and iOS image library, and taking new pictures with the camera.",Apache-2.0,BSD-3-Clause,Pub,https://pub.dartlang.org/packages/image_picker,image_picker,
intl,0.19.0,,"Contains code to deal with internationalized/localized messages, date and number formatting and parsing, bi-directional text, and other internationalization issues.",BSD-3-Clause,,Pub,https://pub.dartlang.org/packages/intl,intl,
meta,1.15.0,,Annotations used to express developer intentions that can't otherwise be deduced by statically analyzing source code.,BSD-3-Clause,,Pub,https://pub.dartlang.org/packages/meta,meta,
open_file,3.5.3,crazecoder <21527312@qq.com>,"A plug-in that can call native APP to open files with string result in flutter, support iOS(UTI) / android(intent) / PC(ffi) / web(dart:html)",BSD-3-Clause,,Pub,https://pub.dartlang.org/packages/open_file,open_file,
package_info_plus,6.0.0,,"Flutter plugin for querying information about the application package, such as CFBundleVersion on iOS or versionCode on Android.",BSD-3-Clause,,Pub,https://github.com/fluttercommunity/plus_plugins,package_info_plus,
path,1.9.0,,"A string-based path manipulation library. All of the path operations you know and love, with solid support for Windows, POSIX (Linux and Mac OS X), and the web.",BSD-3-Clause,,Pub,https://pub.dartlang.org/packages/path,path,
path_provider,2.1.4,,"Flutter plugin for getting commonly used locations on host platform file systems, such as the temp and app data directories.",BSD-3-Clause,,Pub,https://pub.dartlang.org/packages/path_provider,path_provider,
pdf,3.11.1,,A pdf producer for Dart. It can create pdf files for both web or flutter.,Apache-2.0,,Pub,https://github.com/DavBfr/dart_pdf/tree/master/pdf,pdf,
percent_indicator,4.2.3,,"Library that allows you to display progress widgets based on percentage, can be Circular or Linear, you can also customize it to your needs.",BSD-2-Clause,,Pub,https://www.diegoveloper.com,percent_indicator,
permission_handler,10.4.5,,"Permission plugin for Flutter. This plugin provides a cross-platform (iOS, Android) API to request and check permissions.",MIT,,Pub,https://pub.dartlang.org/packages/permission_handler,permission_handler,
pin_code_fields,8.0.1,,A flutter package which will help you to generate pin code fields. Can be useful for OTP for example.,MIT,,Pub,https://github.com/adar2378,pin_code_fields,
pointycastle,3.9.1,,"A Dart library implementing cryptographic algorithms and primitives, modeled on the BouncyCastle library.",MIT,Apache-2.0; unknown,Pub,https://github.com/bcgit/pc-dart,pointycastle,
